case_id,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,budget_index,budget_fraction,row_budget,method,method_label,selected_rows,row_match,importance_retention,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,selector_median_ms,selector_p95_ms,read_wall_median_ms,read_wall_p95_ms,actual_total_ms,direct_rate,deterministic,fallback_used,error
qwen05-000000,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,paper,Paper,224,True,0.3185012399093553,0.07391081750392914,0.08641496300697327,0.0027336478233337402,0.9954813122749329,3,0.251751,0.4330614,0.524792,0.6140495,0.776543,1.0,True,False,
qwen05-000001,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.30117180661406584,0.07349807024002075,0.08851796388626099,0.002703428268432617,0.9956942796707153,2,0.084388,0.19070589999999998,0.451654,0.49893010000000004,0.536042,1.0,True,False,
qwen05-000002,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.2726157613755777,0.08563302457332611,0.10247661918401718,0.0036725997924804688,0.9952211976051331,1,0.129111,0.3134517,0.484476,0.5234919,0.613587,1.0,True,False,
qwen05-000003,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.35509475860220774,0.07104622572660446,0.0769226923584938,0.0025197267532348633,0.9936579465866089,6,0.141685,0.1530376,0.536895,0.5779386,0.67858,1.0,True,False,
qwen05-000004,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.3941879150235193,0.07421745359897614,0.0723038911819458,0.0027537941932678223,0.9944334626197815,12,0.184054,0.1843609,0.525683,0.5372876,0.7097370000000001,1.0,True,False,
qwen05-000005,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.42625767107295137,0.06080428883433342,0.05963045731186867,0.0018450617790222168,0.9949371218681335,18,0.201006,0.2118528,0.502631,0.527363,0.7036370000000001,1.0,True,False,
qwen05-000006,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.4284173695596257,0.061787717044353485,0.061949472874403,0.0019074082374572754,0.9955158233642578,24,0.570978,0.6797394,0.536995,0.5592034,1.1079729999999999,1.0,True,False,
qwen05-000007,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,paper,Paper,448,True,0.5758883838869087,0.04661707207560539,0.05126982554793358,0.0010781288146972656,0.9946880340576172,4,0.221705,0.2272949,0.45421,0.4836139,0.675915,1.0,True,False,
qwen05-000008,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.5526490056238618,0.04845523461699486,0.05522496998310089,0.0011660456657409668,0.9946818947792053,3,0.080982,0.0868698,0.510244,0.5494308999999999,0.591226,1.0,True,False,
qwen05-000009,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5160442848774144,0.05719112604856491,0.06675540655851364,0.0016353726387023926,0.9968266487121582,1,0.127899,0.127989,0.56152,0.5846581,0.689419,1.0,True,False,
qwen05-000010,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.6040591072049455,0.038452647626399994,0.041806649416685104,0.0007363557815551758,0.9967725276947021,6,0.126136,0.1401571,0.441817,0.45708190000000004,0.567953,1.0,True,False,
qwen05-000011,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k12,Wave K=12,448,True,0.626296906983748,0.039637334644794464,0.039025627076625824,0.0007827281951904297,0.9967314004898071,12,0.190857,0.21375119999999997,0.635559,0.650373,0.826416,1.0,True,False,
qwen05-000012,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k18,Wave K=18,448,True,0.6440827521549951,0.038553688675165176,0.03841257840394974,0.0007396340370178223,0.9964970946311951,18,0.247804,0.2669461,0.73758,0.7437737999999999,0.985384,1.0,True,False,
qwen05-000013,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k24,Wave K=24,448,True,0.6586465707569816,0.03346006199717522,0.03420434892177582,0.0005573034286499023,0.9971537590026855,24,0.386613,0.4064949,0.624097,0.6639516999999999,1.01071,1.0,True,False,
qwen05-000014,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,paper,Paper,672,True,0.8156959153722191,0.020258085802197456,0.0215641800314188,0.00020140409469604492,0.9970589280128479,6,0.233717,0.2415524,0.593771,0.5993528,0.827488,1.0,True,False,
qwen05-000015,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,tile8_ceil,Cell-8,672,True,0.8014777806548864,0.022219467908143997,0.0251479372382164,0.00024330615997314453,0.9971056580543518,4,0.091571,0.0973247,0.688458,0.8310864,0.780029,1.0,True,False,
qwen05-000016,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k1,Wave K=1,672,True,0.7615265182049886,0.02780325524508953,0.034500353038311005,0.00038242340087890625,0.996731162071228,1,0.122028,0.1301973,0.998738,1.1627279,1.120766,1.0,True,False,
qwen05-000017,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k6,Wave K=6,672,True,0.8153215082732193,0.02138955146074295,0.023926235735416412,0.00022661685943603516,0.9976973533630371,6,0.129833,0.1315727,0.621432,0.6271127999999999,0.751265,1.0,True,False,
qwen05-000018,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k12,Wave K=12,672,True,0.8317322295576525,0.015831753611564636,0.01880062185227871,0.0001245737075805664,0.9986754655838013,12,0.128501,0.14152040000000002,0.688207,0.7505400999999999,0.816708,1.0,True,False,
qwen05-000019,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k18,Wave K=18,672,True,0.8456107122653439,0.013361606746912003,0.01451926864683628,8.893013000488281e-05,0.9991688132286072,18,0.449841,0.4600209,0.805286,0.9591679999999999,1.2551269999999999,1.0,True,False,
qwen05-000020,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k24,Wave K=24,672,True,0.8465755250352255,0.011237827129662037,0.01212740782648325,6.300210952758789e-05,0.9992454648017883,24,0.135072,0.15124859999999998,0.747138,0.8267745,0.8822099999999999,1.0,True,False,
qwen05-000021,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,paper,Paper,224,True,0.26863673449222886,0.021818382665514946,0.02481437474489212,0.00023812055587768555,0.9996219277381897,1,0.18176,0.3275267,0.26181,0.30004109999999995,0.44357,1.0,True,False,
qwen05-000022,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.27229951878562847,0.02139691635966301,0.024312233552336693,0.0002288222312927246,0.9996299147605896,1,0.071704,0.0954091,0.195445,0.214651,0.267149,1.0,True,False,
qwen05-000023,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.2726157613755777,0.021389342844486237,0.024310756474733353,0.0002288222312927246,0.9996335506439209,1,0.161222,0.17538710000000002,0.195897,0.23798729999999998,0.35711899999999996,1.0,True,False,
qwen05-000024,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.35509475860220774,0.016245396807789803,0.018603341653943062,0.00013196468353271484,0.9994973540306091,6,0.220061,0.2453807,0.268061,0.3067799,0.488122,1.0,True,False,
qwen05-000025,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.3941879150235193,0.016367962583899498,0.018098369240760803,0.00013387203216552734,0.9995284676551819,12,0.167203,0.1755352,0.398876,0.4318331,0.566079,1.0,True,False,
qwen05-000026,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.42625767107295137,0.014823606237769127,0.01601323112845421,0.00010991096496582031,0.999567449092865,18,0.195235,0.2212405,0.412973,0.4185089,0.608208,1.0,True,False,
qwen05-000027,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.4284173695596257,0.014248893596231937,0.01548258401453495,0.00010156631469726562,0.9995867013931274,24,0.45943,0.493738,0.393526,0.4255993,0.852956,1.0,True,False,
qwen05-000028,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,paper,Paper,448,True,0.5132151918804069,0.01616208627820015,0.017370592802762985,0.00013053417205810547,0.9999653100967407,1,0.18181,0.1820359,0.187431,0.2074848,0.369241,1.0,True,False,
qwen05-000029,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.512227687771192,0.01533709466457367,0.016978062689304352,0.00011754035949707031,0.9998524785041809,1,0.073528,0.0759265,0.189073,0.19870390000000002,0.262601,1.0,True,False,
