case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.265837
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.25154
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,2,0.233096
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,0,0.093304
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,1,0.092383
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,2,0.108273
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,0,0.093285
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,1,0.080881
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,2,0.07456
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.253825
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.227145
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,2,0.234579
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,0,0.100287
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,1,0.092503
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,2,0.089317
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,0,0.113493
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,1,0.109905
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,2,0.110998
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.350065
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.284212
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,2,0.267481
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,0,0.087734
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,1,0.082754
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,2,0.078637
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,0,0.130695
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,1,0.106138
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,2,0.102511
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.252973
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.240861
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,2,0.243065
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,0,0.170488
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,1,0.135313
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,2,0.129933
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,3,0,0.081663
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,3,1,0.076944
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,3,2,0.08551
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.238246
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.222697
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,2,0.226794
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,4,0,0.087974
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,4,1,0.082254
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,4,2,0.079018
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,4,0,0.094577
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,4,1,0.079228
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,4,2,0.075341
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.4436
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.343022
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,2,0.278061
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,5,0,0.162093
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,5,1,0.14936
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,5,2,0.103343
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,5,0,0.091622
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,5,1,0.081322
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,5,2,0.075892
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,0,0.280785
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,1,0.260016
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,2,0.255378
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,6,0,0.170308
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,6,1,0.148618
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,6,2,0.136846
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,6,0,0.109104
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,6,1,0.079599
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,6,2,0.075762
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,0,0.296234
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,1,0.236703
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,2,0.244517
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,7,0,0.158447
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,7,1,0.170859
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,7,2,0.126787
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,7,0,0.108653
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,7,1,0.092342
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,7,2,0.099215
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,0,0.271548
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,1,0.25649
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,2,0.263112
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,8,0,0.111018
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,8,1,0.09659
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,8,2,0.089107
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,8,0,0.093835
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,8,1,0.087965
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,8,2,0.08557
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,0,0.282158
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,1,0.260798
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,2,0.41735
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,9,0,0.114495
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,9,1,0.11764
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,9,2,0.103484
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,9,0,0.168455
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,9,1,0.102621
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,9,2,0.086772
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,0,0.296354
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,1,0.273181
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,2,0.25709
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,10,0,0.097272
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,10,1,0.089988
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,10,2,0.108994
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,10,0,0.147877
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,10,1,0.115526
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,10,2,0.09619
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,0,0.389649
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,1,0.271989
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,2,0.237534
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,11,0,0.099105
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,11,1,0.089968
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,11,2,0.090139
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,11,0,0.124803
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,11,1,0.110868
