case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,0,0.1,90,88,0.0982142857142857,False,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.1393231004476547,0.1393231004476547,0.3740268051624298,0.0378880016505718,0.0388095986098051,0.2665035,0.27449685,0.3043915016505718,0.4172530007512569,0.4551410024018287,True,False,,0.0933469533920288,0.1069598719477653,0.0043660402297973,0.9949132204055786,2,0.0164480004459619,0.0182336006313562,0.0174080003052949,0.0203455992043018,0.0542664999999999,0.0243255,0.1168934999999999,0.1312714499999999,1.0,0.1507495007512569
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs,Cell-1 |x|,abs,0,0.1,90,90,0.1004464285714285,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.1289945244789123,0.1289945244789123,0.2446146160364151,0.0378880016505718,0.0388095986098051,0.086572,0.0938845,0.1244600016505718,0.2336840007455945,0.2715720023961663,True,False,,0.1018602102994918,0.1145791262388229,0.005200445652008,0.9960620999336244,1,0.0143680004402995,0.0169887994416058,0.0174080003052949,0.0183296006172895,0.0531294999999999,0.028313,0.115336,0.115363,1.0,0.1471120007455945
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2,Cell-1 X²,x2,0,0.1,90,90,0.1004464285714285,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.2420406639575958,0.1289945244789123,0.2446146160364151,0.0235520005226135,0.0318463999778032,0.0839719999999999,0.0901892,0.1075240005226135,0.2310840007455945,0.254636001268208,True,False,,0.1018602102994918,0.1145791262388229,0.005200445652008,0.9960620999336244,1,0.0143680004402995,0.0169887994416058,0.0174080003052949,0.0183296006172895,0.0531294999999999,0.028313,0.115336,0.115363,1.0,0.1471120007455945
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,wcell1,WCell-1 X²·W²,weighted,0,0.1,90,90,0.1004464285714285,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.2446146160364151,0.1289945244789123,0.2446146160364151,0.0264640003442764,0.0302943993359804,0.080215,0.0852055,0.1066790003442764,0.2273270007455945,0.2537910010898709,True,False,,0.1018602102994918,0.1145791262388229,0.005200445652008,0.9960620999336244,1,0.0143680004402995,0.0169887994416058,0.0174080003052949,0.0183296006172895,0.0531294999999999,0.028313,0.115336,0.115363,1.0,0.1471120007455945
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,1,0.15,134,132,0.1473214285714285,False,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.1770467311143875,0.1770467311143875,0.2903616428375244,0.0378880016505718,0.0388095986098051,0.242368,0.2529673,0.2802560016505718,0.3999010007249117,0.4377890023754835,True,False,,0.0937507301568985,0.1099143624305725,0.004404067993164,0.9949787259101868,1,0.0184640008956193,0.0202783996239304,0.0215039998292922,0.0233472004532814,0.048977,0.0322654999999999,0.117565,0.1194451,1.0,0.1575330007249117
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs,Cell-1 |x|,abs,1,0.15,134,134,0.1495535714285714,True,f6d1d9c07c2fa9aab963d504598dd8d6d4505250e587e649aeee253aacb5543c,0.1694846302270889,0.1694846302270889,0.2754783630371094,0.0378880016505718,0.0388095986098051,0.080205,0.0830858999999999,0.1180930016505718,0.2317815008542537,0.2696695025048256,True,False,,0.1004009991884231,0.1152098551392555,0.0050529241561889,0.994779646396637,1,0.0163839999586343,0.0182272005826234,0.0184640008956193,0.0285728007555007,0.052428,0.0301164999999999,0.1167285,0.12220185,1.0,0.1515765008542537
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2,Cell-1 X²,x2,1,0.15,134,134,0.1495535714285714,True,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.2560271024703979,0.1667916774749755,0.2516658306121826,0.0235520005226135,0.0318463999778032,0.087784,0.0893527,0.1113360005226135,0.2439900010339021,0.2675420015565157,True,False,,0.0980954468250274,0.112189695239067,0.0048224925994873,0.996107578277588,1,0.018368000164628,0.0184256006032228,0.0245760008692741,0.0291840007528662,0.0426295,0.0310435,0.113262,0.1177521,1.0,0.1562060010339021
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,wcell1,WCell-1 X²·W²,weighted,1,0.15,134,134,0.1495535714285714,True,f6d1d9c07c2fa9aab963d504598dd8d6d4505250e587e649aeee253aacb5543c,0.2754783630371094,0.1694846302270889,0.2754783630371094,0.0264640003442764,0.0302943993359804,0.089397,0.0912726,0.1158610003442764,0.2409735008542537,0.2674375011985302,True,False,,0.1004009991884231,0.1152098551392555,0.0050529241561889,0.994779646396637,1,0.0163839999586343,0.0182272005826234,0.0184640008956193,0.0285728007555007,0.052428,0.0301164999999999,0.1167285,0.12220185,1.0,0.1515765008542537
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,2,0.2,179,176,0.1964285714285714,False,b84965498147f619fe11ba61fb3a42f6ff84c5a2de86ac3ee2f6f76320011f64,0.2700236439704895,0.2700236439704895,0.572515070438385,0.0378880016505718,0.0388095986098051,0.2309075,0.2320482499999999,0.2687955016505718,0.3858989999172687,0.4237870015678405,True,False,,0.0785626247525215,0.0911440774798393,0.0030895471572875,0.9954428672790528,3,0.0153599996119737,0.0162815999239683,0.0174080003052949,0.0192511992529034,0.0488964999999999,0.038778,0.1222235,0.12927005,1.0,0.1549914999172687
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs,Cell-1 |x|,abs,2,0.2,179,179,0.1997767857142857,True,6bd4299df8bd8f4db1a99a3cdef7dcffbe9555b24645af4ac3270e2264e25573,0.2208043932914734,0.2208043932914734,0.3021217286586761,0.0378880016505718,0.0388095986098051,0.086316,0.0905045999999999,0.1242040016505718,0.2454274990456104,0.2833155006961823,True,False,,0.093335747718811,0.1093010157346725,0.0043649077415466,0.9947527647018432,1,0.0141759999096393,0.0152415996417403,0.019455999135971,0.0203775994479656,0.049843,0.04264,0.1254795,0.12577245,1.0,0.1591114990456104
