case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper fixed R |x|,abs,0,0.1,96,96,0.1,True,e0274ad014385549d87084b992cc999ffdfbff7e48aa5d0578884cbb494b1e43,0.2753574848175049,0.2753574848175049,0.7805520296096802,0.02879999950528145,0.05739839933812618,0.246942,0.25360469999999996,0.27574199950528144,0.6523344999022483,0.6811344994075298,True,False,,0.5971925258636475,0.5695089101791382,0.19552534818649292,0.742681086063385,3,0.01945599913597107,0.023977600038051605,0.023584000766277313,0.024476800858974457,0.266443,0.033322000000000004,0.36235249999999997,0.37933595,1.0,0.40539249990224835
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_fixed,Cell-1 X² fixed R,x2,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.6131137609481812,0.1787436157464981,0.4801287055015564,0.028672000393271446,0.03313599918037653,0.083696,0.102425,0.11236800039327145,0.4086169996679425,0.43728900006121396,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.014336000196635723,0.015344000328332186,0.0163199994713068,0.018220800533890726,0.22956900000000002,0.026815,0.294265,0.3198952,1.0,0.3249209996679425
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_tau,Cell-1-τ X² local I-bound,x2,0,0.1,96,1,0.0010416666666666667,False,7a7a77a0ea086b15cf9cfe59ff74ace69d7870837b9963a31686a81631d95a6e,0.5929459929466248,0.09183485060930252,0.47070378065109253,0.028672000393271446,0.03313599918037653,0.078106,0.08669919999999999,0.10677800039327144,0.32853600046861176,0.3572080008618832,True,False,,0.9267522692680359,0.8977779150009155,0.5744181871414185,0.6255560517311096,1,0.011264000087976456,0.011264000087976456,0.013504000380635262,0.015174399688839912,0.15495949999999997,0.022973,0.225662,0.2329835,1.0,0.25043000046861175
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper fixed R |x|,abs,1,0.15,144,144,0.15,True,7f40890dc03a73754e46490c97253037c0948867d11b281744ab49a4a7663126,0.36119022965431213,0.36119022965431213,0.9196242094039917,0.02879999950528145,0.05739839933812618,0.230371,0.24334630000000002,0.25917099950528144,0.7042500009025932,0.7330500004078746,True,False,,0.3856421709060669,0.3841230571269989,0.06814253330230713,0.801173210144043,4,0.014336000196635723,0.01617919998243451,0.017216000705957413,0.017388800345361232,0.362548,0.036358,0.442327,0.4635886,1.0,0.47387900090259316
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_fixed,Cell-1 X² fixed R,x2,1,0.15,144,144,0.15,True,412ee028a12492de883ef951a06e599fa3b1ecbc156436db7ff44d2f2368894b,0.6215085983276367,0.21484346687793732,0.4841453731060028,0.028672000393271446,0.03313599918037653,0.107431,0.1320829,0.13610300039327144,0.43763100015527007,0.4663030005485415,True,False,,0.8856021761894226,0.8657711744308472,0.5181460976600647,0.610207200050354,1,0.014336000196635723,0.015257599670439959,0.016383999958634377,0.017219199612736703,0.231132,0.033588,0.29947999999999997,0.323726,1.0,0.33020000015527007
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_tau,Cell-1-τ X² local I-bound,x2,1,0.15,144,1,0.0010416666666666667,False,7a7a77a0ea086b15cf9cfe59ff74ace69d7870837b9963a31686a81631d95a6e,0.5929459929466248,0.09183485060930252,0.47070378065109253,0.028672000393271446,0.03313599918037653,0.080981,0.0812069,0.10965300039327144,0.3314110004686117,0.36008300086188316,True,False,,0.9267522692680359,0.8977779150009155,0.5744181871414185,0.6255560517311096,1,0.011264000087976456,0.011264000087976456,0.013504000380635262,0.015174399688839912,0.15495949999999997,0.022973,0.225662,0.2329835,1.0,0.25043000046861175
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper fixed R |x|,abs,2,0.2,192,192,0.2,True,6259c9f7f64aab47e09299446d9ff04c34ada09e4595aabf56f2acd91b6acc2d,0.4438382387161255,0.4438382387161255,0.9513447284698486,0.02879999950528145,0.05739839933812618,0.241111,0.2539063,0.2699109995052814,0.7715630007079243,0.8003630002132057,True,False,,0.31321629881858826,0.2966183125972748,0.046658873558044434,0.8698906898498535,6,0.01532800029963255,0.019158400129526854,0.018400000408291817,0.02119359988719225,0.3909315,0.0517775,0.49672399999999994,0.5237788999999999,1.0,0.5304520007079243
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_fixed,Cell-1 X² fixed R,x2,2,0.2,192,192,0.2,True,bc890edfe0c98bc62e5758bf8b3e7e4a1feefef53cfc7c74c56f574074718e47,0.7617581486701965,0.3228379487991333,0.7045796513557434,0.028672000393271446,0.03313599918037653,0.08577,0.0912078,0.11444200039327145,0.4781110002582669,0.5067830006515384,True,False,,0.7147454619407654,0.6563581228256226,0.2883574962615967,0.8431578278541565,2,0.014336000196635723,0.015257599670439959,0.017376000061631203,0.017404800280928612,0.2580225,0.051807,0.360629,0.3986936,1.0,0.3923410002582669
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_tau,Cell-1-τ X² local I-bound,x2,2,0.2,192,1,0.0010416666666666667,False,7a7a77a0ea086b15cf9cfe59ff74ace69d7870837b9963a31686a81631d95a6e,0.5929459929466248,0.09183485060930252,0.47070378065109253,0.028672000393271446,0.03313599918037653,0.132958,0.2033083,0.16163000039327144,0.38338800046861177,0.4120600008618832,True,False,,0.9267522692680359,0.8977779150009155,0.5744181871414185,0.6255560517311096,1,0.011264000087976456,0.011264000087976456,0.013504000380635262,0.015174399688839912,0.15495949999999997,0.022973,0.225662,0.2329835,1.0,0.25043000046861175
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper fixed R |x|,abs,3,0.25,240,240,0.25,True,fe3db13a0f3d817377052ce34904f043115de24ee42e0b956968f18d355afa02,0.4708330035209656,0.4708330035209656,0.9532856941223145,0.02879999950528145,0.05739839933812618,0.276607,0.2800702,0.30540699950528144,0.8996399990946056,0.928439998599887,True,False,,0.2954671382904053,0.28608301281929016,0.0420839786529541,0.8878870606422424,5,0.016383999958634377,0.01730560027062893,0.01945599913597107,0.02314240038394928,0.4708055,0.063474,0.5871930000000001,0.6006597,1.0,0.6230329990946055
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_fixed,Cell-1 X² fixed R,x2,3,0.25,240,240,0.25,True,2967cc733c4d2b7d5b963a4fed357ff0cc79f30861ca12d86df46cd90ecc51a4,0.770946741104126,0.3639332056045532,0.70890873670578,0.028672000393271446,0.03313599918037653,0.089327,0.09627050000000001,0.11799900039327145,0.49283500026392935,0.5215070006572008,True,False,,0.6930164098739624,0.637721598148346,0.2708878517150879,0.8380905389785767,2,0.015359999611973763,0.016281599923968316,0.018432000651955605,0.019353599287569523,0.280585,0.049528,0.369716,0.3897293,1.0,0.40350800026392936
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_tau,Cell-1-τ X² local I-bound,x2,3,0.25,240,1,0.0010416666666666667,False,7a7a77a0ea086b15cf9cfe59ff74ace69d7870837b9963a31686a81631d95a6e,0.5929459929466248,0.09183485060930252,0.47070378065109253,0.028672000393271446,0.03313599918037653,0.076162,0.08534109999999999,0.10483400039327144,0.32659200046861175,0.3552640008618832,True,False,,0.9267522692680359,0.8977779150009155,0.5744181871414185,0.6255560517311096,1,0.011264000087976456,0.011264000087976456,0.013504000380635262,0.015174399688839912,0.15495949999999997,0.022973,0.225662,0.2329835,1.0,0.25043000046861175
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper fixed R |x|,abs,4,0.3,288,288,0.3,True,97ffdb171360c4fe86c4a01c8ea280735d1cd0a4e0d26063d538b9a48a8996ac,0.5168418884277344,0.5168418884277344,0.9655721783638,0.02879999950528145,0.05739839933812618,0.275275,0.2847511,0.30407499950528144,0.8734675002639294,0.9022674997692108,True,False,,0.25386109948158264,0.2551061511039734,0.030627429485321045,0.9051166772842407,5,0.016383999958634377,0.016383999958634377,0.01740800030529499,0.018329600617289544,0.4415305,0.06905900000000001,0.5644005000000001,0.5665240500000001,1.0,0.5981925002639294
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_fixed,Cell-1 X² fixed R,x2,4,0.3,288,288,0.3,True,03736b22d65ec67b0726e600f952694e3bcff1538885512cf6ab8fb46b7ff35c,0.7746308445930481,0.3995560109615326,0.7113925814628601,0.028672000393271446,0.03313599918037653,0.08559,0.0924165,0.11426200039327145,0.6204195005019306,0.6490915008952021,True,False,,0.6937070488929749,0.6336901187896729,0.2694297432899475,0.8528909087181091,2,0.014336000196635723,0.015257599670439959,0.01740800030529499,0.018214399740099908,0.38528049999999997,0.065768,0.5030855,0.50708465,1.0,0.5348295005019307
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_tau,Cell-1-τ X² local I-bound,x2,4,0.3,288,1,0.0010416666666666667,False,7a7a77a0ea086b15cf9cfe59ff74ace69d7870837b9963a31686a81631d95a6e,0.5929459929466248,0.09183485060930252,0.47070378065109253,0.028672000393271446,0.03313599918037653,0.076824,0.0874008,0.10549600039327145,0.32725400046861175,0.3559260008618832,True,False,,0.9267522692680359,0.8977779150009155,0.5744181871414185,0.6255560517311096,1,0.011264000087976456,0.011264000087976456,0.013504000380635262,0.015174399688839912,0.15495949999999997,0.022973,0.225662,0.2329835,1.0,0.25043000046861175
