case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,selector_median_ms,selector_p95_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper,0,0.1,90,88,0.09821428571428571,False,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.13932234048843384,0.240931,0.240958,0.45884049878561495,True,False,,0.09334695339202881,0.10695987194776535,0.004366040229797363,0.9949132204055786,2,0.015359999611973763,0.02192000038921833,0.017503999173641205,0.019353600218892097,0.1157965,0.0281175,0.1850455,0.22612645,1.0,0.21790949878561497
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper_s,Paper-s,0,0.1,90,0,0.0,False,b5fdab78d8947eacc864bfeecb4d2100780e5afe1cd8efafb124887913ac49fa,0.0,0.190556,0.1907,0.2383565004849434,True,False,,0.12209019064903259,0.13742966949939728,0.0074748992919921875,0.9959994554519653,0,0.007071999832987785,0.007987200003117322,0.018432000651955605,0.01945599913597107,0.0,0.0012729999999999998,0.0222965,0.02268035,0.0,0.04780050048494339
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,c1_l1,Cell-1,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.12899376451969147,0.1023115,0.11500735,0.2722149996472597,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.017343999817967415,0.022579200565814972,0.021503999829292297,0.02232320010662079,0.0601975,0.030837500000000004,0.1310555,0.13226374999999999,1.0,0.1699034996472597
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper,1,0.15,134,132,0.14732142857142858,False,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.17705422639846802,0.247428,0.2571165,0.40328000112992524,True,False,,0.0937507301568985,0.10991436243057251,0.0044040679931640625,0.9949787259101868,1,0.014368000440299511,0.016179199889302255,0.01648000068962574,0.018099199607968332,0.057232,0.0318295,0.125004,0.12766439999999998,1.0,0.15585200112992526
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper_s,Paper-s,1,0.15,134,0,0.0,False,b5fdab78d8947eacc864bfeecb4d2100780e5afe1cd8efafb124887913ac49fa,0.0,0.186028,0.1871458,0.23382850048494339,True,False,,0.12209019064903259,0.13742966949939728,0.0074748992919921875,0.9959994554519653,0,0.007071999832987785,0.007987200003117322,0.018432000651955605,0.01945599913597107,0.0,0.0012729999999999998,0.0222965,0.02268035,0.0,0.04780050048494339
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,c1_l1,Cell-1,1,0.15,134,134,0.14955357142857142,True,f6d1d9c07c2fa9aab963d504598dd8d6d4505250e587e649aeee253aacb5543c,0.1694963127374649,0.0837215,0.08676485,0.25014349991160634,True,False,,0.10040099918842316,0.11520985513925552,0.005052924156188965,0.994779646396637,1,0.014303999952971935,0.014336000196635723,0.016383999958634377,0.019660799577832223,0.064646,0.036102499999999996,0.13573400000000002,0.13874540000000002,1.0,0.16642199991160633
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper,2,0.2,179,176,0.19642857142857142,False,b84965498147f619fe11ba61fb3a42f6ff84c5a2de86ac3ee2f6f76320011f64,0.27002832293510437,0.23068149999999998,0.23555095,0.4438955001986027,True,False,,0.07856262475252151,0.09114407747983932,0.0030895471572875977,0.9954428672790527,3,0.0144640002399683,0.015340799652040004,0.016383999958634377,0.017267200350761413,0.09645600000000001,0.044398,0.182366,0.21247819999999998,1.0,0.21321400019860268
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper_s,Paper-s,2,0.2,179,138,0.15401785714285715,False,5905d9264edb22e7a1be5b918ae7cc90f950e38364ec4856cf22124ac7ac02d1,0.180672749876976,0.178815,0.1797708,0.3251425004799366,True,False,,0.09389249980449677,0.10996457189321518,0.004417479038238525,0.9949977993965149,1,0.013344000093638897,0.014310400187969207,0.015584000386297703,0.017075199261307718,0.048711000000000004,0.033042,0.1173995,0.11996945,1.0,0.1463275004799366
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,c1_l1,Cell-1,2,0.2,179,179,0.19977678571428573,True,6bd4299df8bd8f4db1a99a3cdef7dcffbe9555b24645af4ac3270e2264e25573,0.22081290185451508,0.103293,0.1035909,0.2790754993326068,True,False,,0.09333574771881104,0.10930101573467255,0.004364907741546631,0.9947527647018433,1,0.014336000196635723,0.017996800318360328,0.01945599913597107,0.01945599913597107,0.0638645,0.0419185,0.14199050000000002,0.14246345,1.0,0.1757824993326068
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper,3,0.25,224,224,0.25,True,c2235d085cec1b3401983e7d1c59abe0d6830c1e260061122ab164cf4942a3fb,0.3185065984725952,0.4065455,0.48152495,0.6733185000052453,True,False,,0.07391081750392914,0.08641496300697327,0.0027336478233337402,0.9954813122749329,3,0.020479999482631683,0.02222079932689667,0.023552000522613525,0.02531840056180954,0.117169,0.0486305,0.22274100000000002,0.2371905,1.0,0.26677300000524523
