case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper fixed R |x|,abs,0,0.1,90,88,0.09821428571428571,False,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.13932310044765472,0.13932310044765472,0.3740268051624298,0.034752000123262405,0.08351039923727512,0.25154,0.2644073,0.2862920001232624,0.6201474990946054,0.6548994992178678,True,False,,0.09334695339202881,0.10695987194776535,0.004366040229797363,0.9949132204055786,2,0.016383999958634377,0.01733440048992634,0.01945599913597107,0.030515199527144432,0.2667935,0.025668000000000003,0.3327675,0.39116535,1.0,0.36860749909460544
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_fixed,Cell-1 X² fixed R,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.027648000046610832,0.03395519945770502,0.093304,0.1067761,0.12095200004661083,0.388316000420928,0.41596400046753884,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.015359999611973763,0.016137600503861906,0.01820800080895424,0.018409600667655467,0.1944735,0.0271305,0.261444,0.2721423,1.0,0.295012000420928
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_tau,Cell-1-τ X² local I-bound,x2,0,0.1,90,1,0.0011160714285714285,False,205f43398572812fd022907a2d66ad1a5e2df1c3c2207895a194a5a0f96d9412,0.11416546255350113,0.020607182756066322,0.10747413337230682,0.027648000046610832,0.03395519945770502,0.080881,0.0920446,0.10852900004661083,0.2962010007192492,0.32384900076586004,True,False,,0.11561331152915955,0.12882918119430542,0.006700456142425537,0.9964832067489624,1,0.013311999849975109,0.014233600161969662,0.02457600086927414,0.027340800128877164,0.10907900000000001,0.020538,0.17743199999999998,0.1813902,1.0,0.21532000071924923
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper fixed R |x|,abs,1,0.15,134,132,0.14732142857142858,False,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.1770467311143875,0.1770467311143875,0.2903616428375244,0.034752000123262405,0.08351039923727512,0.234579,0.2519004,0.2693310001232624,0.5406635001552701,0.5754155002785325,True,False,,0.0937507301568985,0.10991436243057251,0.0044040679931640625,0.9949787259101868,1,0.014336000196635723,0.01617919998243451,0.016383999958634377,0.018227200582623483,0.18966500000000003,0.0390225,0.2753645,0.28030595,1.0,0.3060845001552701
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_fixed,Cell-1 X² fixed R,x2,1,0.15,134,134,0.14955357142857142,True,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.25602710247039795,0.16679167747497559,0.2516658306121826,0.027648000046610832,0.03395519945770502,0.092503,0.0995086,0.12015100004661083,0.4446940005452633,0.47234200059187414,True,False,,0.09809544682502747,0.11218969523906708,0.004822492599487305,0.9961075782775879,1,0.0144640002399683,0.015270399674773217,0.01740800030529499,0.01740800030529499,0.244863,0.035882,0.320319,0.3447549,1.0,0.3521910005452633
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_tau,Cell-1-τ X² local I-bound,x2,1,0.15,134,20,0.022321428571428572,False,a50ba20cd7e440c41ff292e8e178755f8f3a7a479596545c51f15d181b4cc5e5,0.16731415688991547,0.048401203006505966,0.1871936023235321,0.027648000046610832,0.03395519945770502,0.110998,0.1132435,0.13864600004661082,0.40208599872922896,0.4297339987758398,True,False,,0.10635245591402054,0.11994095146656036,0.005670070648193359,0.9959383010864258,1,0.027775999158620834,0.028582400269806386,0.03174399957060814,0.03174399957060814,0.139546,0.0276965,0.231568,0.2377393,1.0,0.29108799872922897
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper fixed R |x|,abs,2,0.2,179,176,0.19642857142857142,False,b84965498147f619fe11ba61fb3a42f6ff84c5a2de86ac3ee2f6f76320011f64,0.2700236439704895,0.2700236439704895,0.572515070438385,0.034752000123262405,0.08351039923727512,0.284212,0.3434797,0.3189640001232624,0.670989500209272,0.7057415003325344,True,False,,0.07856262475252151,0.09114407747983932,0.0030895471572875977,0.9954428672790527,3,0.013344000093638897,0.014380799606442451,0.01616000011563301,0.017254400067031384,0.26856749999999996,0.038577,0.3572735,0.37614155,1.0,0.38677750020927193
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_fixed,Cell-1 X² fixed R,x2,2,0.2,179,179,0.19977678571428573,True,4d89de4a30d994156b5642202c904cea4d0431339184856dd7eab904ef3ab3ca,0.43090277910232544,0.2598536014556885,0.512722909450531,0.027648000046610832,0.03395519945770502,0.082754,0.08723600000000001,0.11040200004661083,0.4798954993326068,0.5075434993792176,True,False,,0.0826089009642601,0.09448090195655823,0.003416776657104492,0.9950773119926453,2,0.014336000196635723,0.015430400148034096,0.01945599913597107,0.01945599913597107,0.259064,0.049137,0.3633495,0.37489065,1.0,0.3971414993326068
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_tau,Cell-1-τ X² local I-bound,x2,2,0.2,179,23,0.025669642857142856,False,931447fe1f7d71df84f3d76ba52aaae4d060d2839c947b437ee4076e884a3a2c,0.204630047082901,0.06131630763411522,0.21711581945419312,0.027648000046610832,0.03395519945770502,0.106138,0.1282393,0.13378600004661084,0.3064610006702542,0.33410900071686506,True,False,,0.10656864196062088,0.12020459026098251,0.005693376064300537,0.9959033131599426,1,0.014336000196635723,0.01617919998243451,0.021344000473618507,0.02240960020571947,0.11757999999999999,0.014577,0.16464299999999998,0.1660812,1.0,0.20032300067025421
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper fixed R |x|,abs,3,0.25,224,224,0.25,True,c2235d085cec1b3401983e7d1c59abe0d6830c1e260061122ab164cf4942a3fb,0.31850123405456543,0.31850123405456543,0.5857973098754883,0.034752000123262405,0.08351039923727512,0.243065,0.2519822,0.2778170001232624,0.7165590002639294,0.7513110003871918,True,False,,0.07391081750392914,0.08641496300697327,0.0027336478233337402,0.9954813122749329,3,0.0161920003592968,0.0163071995601058,0.01759999990463257,0.01932799965143204,0.3136715,0.059852,0.43970200000000004,0.4501618,1.0,0.4734940002639294
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_fixed,Cell-1 X² fixed R,x2,3,0.25,224,224,0.25,True,4d1fdf32b37f02ffd76a4948b315b65ebee347c7f3abf16a0c19450192422a85,0.449111670255661,0.3009958863258362,0.52329021692276,0.027648000046610832,0.03395519945770502,0.135313,0.1669705,0.16296100004661082,0.593456999452591,0.6211049994992018,True,False,,0.07796366512775421,0.09077092260122299,0.0030422210693359375,0.9952064752578735,2,0.01945599913597107,0.02498559933155775,0.021568000316619873,0.02796160038560629,0.31165750000000003,0.054156499999999996,0.41712000000000005,0.43660590000000005,1.0,0.458143999452591
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_tau,Cell-1-τ X² local I-bound,x2,3,0.25,224,108,0.12053571428571429,False,2af4fc4c2fb8392ccd3b1a60282f7438150f836f042d5c2c4954bc32b09a38be,0.250427782535553,0.14706285297870636,0.24968840181827545,0.027648000046610832,0.03395519945770502,0.081663,0.0851253,0.10931100004661083,0.37880600006860493,0.40645400011521576,True,False,,0.09893731772899628,0.11272682994604111,0.004905879497528076,0.9960165619850159,1,0.014336000196635723,0.015257599670439959,0.016127999871969223,0.017280000261962414,0.1960615,0.0319945,0.266679,0.2798523,1.0,0.29714300006860495
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper fixed R |x|,abs,4,0.3,269,268,0.29910714285714285,False,e5e6c9f50a7ec1df52cffbf1bc388f4a75f0445df6932aa8f7e46001829c0b6b,0.36878451704978943,0.36878451704978943,0.6062442064285278,0.034752000123262405,0.08351039923727512,0.226794,0.2371008,0.2615460001232624,0.6896145000146032,0.7243665001378656,True,False,,0.06760250777006149,0.08017081022262573,0.0022860169410705566,0.995869517326355,3,0.013344000093638897,0.014380799606442451,0.01833599992096424,0.018422400578856468,0.339164,0.0525535,0.43114050000000004,0.44150535,1.0,0.4628205000146032
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_fixed,Cell-1 X² fixed R,x2,4,0.3,269,269,0.3002232142857143,True,6935eb49281f78c50690334af7d0c2f5358a59f5ed6a68ac2ec8518a830fbc08,0.46364840865135193,0.3404003977775574,0.5294420719146729,0.027648000046610832,0.03395519945770502,0.082254,0.087402,0.10990200004661083,0.5300310005785822,0.557679000625193,True,False,,0.0745873898267746,0.08820445835590363,0.002783834934234619,0.9954641461372375,2,0.015296000055968761,0.016275199968367814,0.023552000522613525,0.02447360083460808,0.3207445,0.05157200000000001,0.408929,0.4324856,1.0,0.4477770005785823
