case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper |x|,abs,0,0.1,96,96,0.1,True,e0274ad014385549d87084b992cc999ffdfbff7e48aa5d0578884cbb494b1e43,0.2753574848175049,0.2753574848175049,0.7805520296096802,0.025599999353289604,0.03873280044645071,0.26951250000000004,0.28220835,0.29511249935328965,0.46249299977660185,0.48809299912989146,True,False,,0.5971925258636475,0.5695089101791382,0.19552534818649292,0.742681086063385,3,0.0163199994713068,0.017443199642002583,0.01740800030529499,0.019424000568687916,0.0726005,0.029915999999999998,0.1592525,0.17354855,1.0,0.19298049977660178
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.1787436157464981,0.1787436157464981,0.4801287055015564,0.025599999353289604,0.03873280044645071,0.07346649999999999,0.07957075,0.0990664993532896,0.23070099959826468,0.2563009989515543,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.017184000462293625,0.017385600320994853,0.01945599913597107,0.02498559933155775,0.053725,0.0302465,0.1205945,0.12275855,1.0,0.1572344995982647
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.1787436157464981,0.1787436157464981,0.4801287055015564,0.025599999353289604,0.03873280044645071,0.0711225,0.07233975,0.09672249935328961,0.2283569995982647,0.2539569989515543,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.017184000462293625,0.017385600320994853,0.01945599913597107,0.02498559933155775,0.053725,0.0302465,0.1205945,0.12275855,1.0,0.1572344995982647
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2_lookup,Cell-1 X² lookup,x2,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.6131137609481812,0.1787436157464981,0.4801287055015564,0.02969600073993206,0.03427520040422678,0.0649655,0.06803585,0.09466150073993206,0.2221999995982647,0.25189600033819676,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.017184000462293625,0.017385600320994853,0.01945599913597107,0.02498559933155775,0.053725,0.0302465,0.1205945,0.12275855,1.0,0.1572344995982647
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2_twoline,Cell-1 X² 2-line,x2,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.6131137609481812,0.1787436157464981,0.4801287055015564,0.02969600073993206,0.03427520040422678,0.064781,0.064862,0.09447700073993207,0.2220154995982647,0.2517115003381968,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.017184000462293625,0.017385600320994853,0.01945599913597107,0.02498559933155775,0.053725,0.0302465,0.1205945,0.12275855,1.0,0.1572344995982647
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper |x|,abs,1,0.15,144,144,0.15,True,7f40890dc03a73754e46490c97253037c0948867d11b281744ab49a4a7663126,0.36119022965431213,0.36119022965431213,0.9196242094039917,0.025599999353289604,0.03873280044645071,0.24009799999999998,0.2444351,0.2656979993532896,0.43245549977093933,0.45805549912422894,True,False,,0.3856421709060669,0.3841230571269989,0.06814253330230713,0.801173210144043,4,0.015263999812304974,0.015350399632006883,0.016383999958634377,0.01730560027062893,0.083596,0.0407565,0.1607095,0.17680465,1.0,0.19235749977093936
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,144,144,0.15,True,a721fedfe87af432d8fff2f41caed7ee8751454a46138a61afcf9c5b22d62549,0.28969576954841614,0.28969576954841614,0.6995866298675537,0.025599999353289604,0.03873280044645071,0.07907249999999999,0.08393745,0.1046724993532896,0.2399055001552701,0.26550549950855973,True,False,,0.7157721519470215,0.6632491946220398,0.2896474599838257,0.8404701948165894,2,0.014336000196635723,0.015257599670439959,0.016383999958634377,0.01730560027062893,0.054876999999999995,0.0365535,0.130113,0.13779539999999998,1.0,0.1608330001552701
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,144,144,0.15,True,635b270caed5a811e172e543f2e8aa84141f39f85f56846092c951d9b9ed250c,0.29104405641555786,0.29104405641555786,0.7019521594047546,0.025599999353289604,0.03873280044645071,0.0753805,0.07829335000000001,0.10098049935328961,0.23209900011759999,0.2576989994708896,True,False,,0.7280933260917664,0.6690984964370728,0.30078351497650146,0.8371431231498718,2,0.015263999812304974,0.015408000070601701,0.01740800030529499,0.01740800030529499,0.051130999999999996,0.038272,0.1240465,0.12420445,1.0,0.15671850011759997
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2_lookup,Cell-1 X² lookup,x2,1,0.15,144,144,0.15,True,412ee028a12492de883ef951a06e599fa3b1ecbc156436db7ff44d2f2368894b,0.6215085983276367,0.21484346687793732,0.4841453731060028,0.02969600073993206,0.03427520040422678,0.074354,0.0764771,0.10405000073993206,0.23585950026392938,0.26555550100386144,True,False,,0.8856021761894226,0.8657711744308472,0.5181460976600647,0.610207200050354,1,0.016383999958634377,0.01730560027062893,0.01740800030529499,0.018329600617289544,0.05357,0.038416,0.1277135,0.13101785,1.0,0.16150550026392937
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2_twoline,Cell-1 X² 2-line,x2,1,0.15,144,144,0.15,True,412ee028a12492de883ef951a06e599fa3b1ecbc156436db7ff44d2f2368894b,0.6215085983276367,0.21484346687793732,0.4841453731060028,0.02969600073993206,0.03427520040422678,0.0778355,0.08109034999999999,0.10753150073993206,0.23934100026392938,0.2690370010038614,True,False,,0.8856021761894226,0.8657711744308472,0.5181460976600647,0.610207200050354,1,0.016383999958634377,0.01730560027062893,0.01740800030529499,0.018329600617289544,0.05357,0.038416,0.1277135,0.13101785,1.0,0.16150550026392937
