case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,0,0.1,90,88,0.09821428571428571,False,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.13932310044765472,0.13932310044765472,0.3740268051624298,0.035840000957250595,0.05980159901082516,0.255889,0.2713969,0.2917290009572506,0.4292555001232624,0.465095501080513,True,False,,0.09334695339202881,0.10695987194776535,0.004366040229797363,0.9949132204055786,2,0.0163199994713068,0.017270400002598763,0.018432000651955605,0.02211840022355318,0.071774,0.0270255,0.1386145,0.14825755,1.0,0.1733665001232624
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2,Cell-1 X²,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.026623999699950218,0.03768319841474294,0.093665,0.10618939999999999,0.12028899969995022,0.2895495014948845,0.3161735011948347,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.02457600086927414,0.059596799314022064,0.02454400062561035,0.03839679881930351,0.068558,0.0314985,0.14676450000000002,0.14698995,1.0,0.1958845014948845
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,shifted8_x2,Shifted-8 X²,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.026623999699950218,0.03768319841474294,0.087303,0.092163,0.11392699969995022,0.28318750149488453,0.30981150119483475,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.02457600086927414,0.059596799314022064,0.02454400062561035,0.03839679881930351,0.068558,0.0314985,0.14676450000000002,0.14698995,1.0,0.1958845014948845
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,adaptive8_x2,Adaptive-8 X²,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.026623999699950218,0.03768319841474294,0.086783,0.09077629999999999,0.11340699969995022,0.2826675014948845,0.30929150119483473,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.02457600086927414,0.059596799314022064,0.02454400062561035,0.03839679881930351,0.068558,0.0314985,0.14676450000000002,0.14698995,1.0,0.1958845014948845
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,1,0.15,134,132,0.14732142857142858,False,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.1770467311143875,0.1770467311143875,0.2903616428375244,0.035840000957250595,0.05980159901082516,0.236132,0.2387105,0.2719720009572506,0.3878304998795986,0.4236705008368492,True,False,,0.0937507301568985,0.10991436243057251,0.0044040679931640625,0.9949787259101868,1,0.015359999611973763,0.015359999611973763,0.019360000267624855,0.024140799790620802,0.051251,0.0319745,0.1169785,0.12083815,1.0,0.1516984998795986
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2,Cell-1 X²,x2,1,0.15,134,134,0.14955357142857142,True,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.25602710247039795,0.16679167747497559,0.2516658306121826,0.026623999699950218,0.03768319841474294,0.077756,0.0823991,0.10437999969995022,0.23658350069159267,0.2632075003915429,True,False,,0.09809544682502747,0.11218969523906708,0.004822492599487305,0.9961075782775879,1,0.014560000039637089,0.015452800132334233,0.018432000651955605,0.024883199483156204,0.062081,0.0302015,0.1258355,0.12753965,1.0,0.15882750069159268
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,shifted8_x2,Shifted-8 X²,x2,1,0.15,134,134,0.14955357142857142,True,b32defc23415cdd165fe87445cf85de86f8f6bcc48fd99822d3f45ba1221e389,0.26039353013038635,0.1687055081129074,0.25685861706733704,0.026623999699950218,0.03768319841474294,0.081572,0.08530610000000001,0.10819599969995022,0.23571200084859134,0.26233600054854156,True,False,,0.09626574069261551,0.11067064851522446,0.004644155502319336,0.9959968328475952,1,0.014336000196635723,0.015257599670439959,0.018432000651955605,0.023961600847542286,0.0546025,0.0332875,0.12137200000000001,0.1240279,1.0,0.15414000084859134
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,adaptive8_x2,Adaptive-8 X²,x2,1,0.15,134,134,0.14955357142857142,True,b32defc23415cdd165fe87445cf85de86f8f6bcc48fd99822d3f45ba1221e389,0.26039353013038635,0.1687055081129074,0.25685861706733704,0.026623999699950218,0.03768319841474294,0.088175,0.0923861,0.11479899969995022,0.24231500084859134,0.2689390005485416,True,False,,0.09626574069261551,0.11067064851522446,0.004644155502319336,0.9959968328475952,1,0.014336000196635723,0.015257599670439959,0.018432000651955605,0.023961600847542286,0.0546025,0.0332875,0.12137200000000001,0.1240279,1.0,0.15414000084859134
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,2,0.2,179,176,0.19642857142857142,False,b84965498147f619fe11ba61fb3a42f6ff84c5a2de86ac3ee2f6f76320011f64,0.2700236439704895,0.2700236439704895,0.572515070438385,0.035840000957250595,0.05980159901082516,0.231523,0.2355172,0.26736300095725063,0.42635200050193073,0.4621920014591814,True,False,,0.07856262475252151,0.09114407747983932,0.0030895471572875977,0.9954428672790527,3,0.014336000196635723,0.0161503997631371,0.01740800030529499,0.018329600617289544,0.0864765,0.041217500000000004,0.163085,0.1783958,1.0,0.19482900050193072
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2,Cell-1 X²,x2,2,0.2,179,179,0.19977678571428573,True,4d89de4a30d994156b5642202c904cea4d0431339184856dd7eab904ef3ab3ca,0.43090277910232544,0.2598536014556885,0.512722909450531,0.026623999699950218,0.03768319841474294,0.100367,0.1204388,0.1269909996999502,0.2912739993345737,0.3178979990345239,True,False,,0.0826089009642601,0.09448090195655823,0.003416776657104492,0.9950773119926453,2,0.02470399998128414,0.026431999728083612,0.025599999353289604,0.025599999353289604,0.0614905,0.041598,0.14060299999999998,0.1427405,1.0,0.19090699933457372
