case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.240901
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.240961
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,0,0,0.190396
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,0,1,0.190716
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,0,0,0.116418
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,0,1,0.088205
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.258193
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.236663
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,1,0,0.184786
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,1,1,0.18727
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,1,0,0.087103
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,1,1,0.08034
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.236092
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.225271
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,2,0,0.179877
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,2,1,0.177753
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,2,0,0.102962
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,2,1,0.103624
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.489856
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.323235
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,3,0,0.235951
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,3,1,0.237304
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,3,0,0.136255
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,3,1,0.110136
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.266007
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.264705
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,4,0,0.289842
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper_s,4,1,0.22465
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,4,0,0.14974
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,4,1,0.098855
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.315129
