case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,0,0.1,90,88,0.09821428571428571,False,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.13932310044765472,0.13932310044765472,0.3740268051624298,0.025599999353289604,0.04218879994004965,0.2672585,0.28218095,0.2928584993532896,0.4964129999172688,0.5220129992705584,True,False,,0.09334695339202881,0.10695987194776535,0.004366040229797363,0.9949132204055786,2,0.015359999611973763,0.01720320023596287,0.01740800030529499,0.020172799564898015,0.12300900000000001,0.0304015,0.19638650000000002,0.23055095,1.0,0.22915449991726877
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.12899452447891235,0.12899452447891235,0.2446146160364151,0.025599999353289604,0.04218879994004965,0.073552,0.0744943,0.09915199935328961,0.23891750064259767,0.26451749999588725,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.014336000196635723,0.0160352005623281,0.016448000445961952,0.01823360063135624,0.067686,0.027486,0.1345815,0.15063165,1.0,0.16536550064259767
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.12899452447891235,0.12899452447891235,0.2446146160364151,0.025599999353289604,0.04218879994004965,0.067797,0.0707814,0.0933969993532896,0.23316250064259766,0.2587624999958873,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.014336000196635723,0.0160352005623281,0.016448000445961952,0.01823360063135624,0.067686,0.027486,0.1345815,0.15063165,1.0,0.16536550064259767
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2_lookup,Cell-1 X² lookup,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.023552000522613525,0.0291679996997118,0.0657025,0.06888535,0.08925450052261352,0.23106800064259767,0.2546200011652112,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.014336000196635723,0.0160352005623281,0.016448000445961952,0.01823360063135624,0.067686,0.027486,0.1345815,0.15063165,1.0,0.16536550064259767
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2_twoline,Cell-1 X² 2-line,x2,0,0.1,90,90,0.10044642857142858,True,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.24204066395759583,0.12899452447891235,0.2446146160364151,0.023552000522613525,0.0291679996997118,0.064475,0.06585020000000001,0.08802700052261353,0.22984050064259767,0.25339250116521117,True,False,,0.10186021029949188,0.11457912623882294,0.005200445652008057,0.9960620999336243,1,0.014336000196635723,0.0160352005623281,0.016448000445961952,0.01823360063135624,0.067686,0.027486,0.1345815,0.15063165,1.0,0.16536550064259767
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,paper,Paper |x|,abs,1,0.15,134,132,0.14732142857142858,False,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.1770467311143875,0.1770467311143875,0.2903616428375244,0.025599999353289604,0.04218879994004965,0.23310999999999998,0.23590989999999998,0.2587099993532896,0.39161450088626143,0.41721450023955103,True,False,,0.0937507301568985,0.10991436243057251,0.0044040679931640625,0.9949787259101868,1,0.014336000196635723,0.014451200235635042,0.01648000068962574,0.018092799559235574,0.061254,0.030828,0.12768849999999998,0.14439654999999998,1.0,0.15850450088626145
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,134,134,0.14955357142857142,True,f6d1d9c07c2fa9aab963d504598dd8d6d4505250e587e649aeee253aacb5543c,0.16948463022708893,0.16948463022708893,0.2754783630371094,0.025599999353289604,0.04218879994004965,0.0665245,0.06957235,0.0921244993532896,0.2289680003179312,0.2545679996712208,True,False,,0.10040099918842316,0.11520985513925552,0.005052924156188965,0.994779646396637,1,0.015168000012636185,0.015340799652040004,0.01740800030529499,0.01740800030529499,0.0631325,0.0322755,0.1298675,0.14232395,1.0,0.16244350031793117
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,134,134,0.14955357142857142,True,f6d1d9c07c2fa9aab963d504598dd8d6d4505250e587e649aeee253aacb5543c,0.16948463022708893,0.16948463022708893,0.2754783630371094,0.025599999353289604,0.04218879994004965,0.0816625,0.09445735000000001,0.1072624993532896,0.24410600031793117,0.2697059996712208,True,False,,0.10040099918842316,0.11520985513925552,0.005052924156188965,0.994779646396637,1,0.015168000012636185,0.015340799652040004,0.01740800030529499,0.01740800030529499,0.0631325,0.0322755,0.1298675,0.14232395,1.0,0.16244350031793117
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2_lookup,Cell-1 X² lookup,x2,1,0.15,134,134,0.14955357142857142,True,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.25602710247039795,0.16679167747497559,0.2516658306121826,0.023552000522613525,0.0291679996997118,0.06966,0.0721575,0.09321200052261353,0.24379249909460543,0.26734449961721896,True,False,,0.09809544682502747,0.11218969523906708,0.004822492599487305,0.9961075782775879,1,0.016383999958634377,0.01730560027062893,0.01945599913597107,0.026828799955546854,0.064525,0.037309499999999995,0.13829249999999998,0.14248065,1.0,0.17413249909460543
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,cell1_x2_twoline,Cell-1 X² 2-line,x2,1,0.15,134,134,0.14955357142857142,True,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.25602710247039795,0.16679167747497559,0.2516658306121826,0.023552000522613525,0.0291679996997118,0.07307649999999999,0.07578145,0.09662850052261351,0.24720899909460542,0.27076099961721894,True,False,,0.09809544682502747,0.11218969523906708,0.004822492599487305,0.9961075782775879,1,0.016383999958634377,0.01730560027062893,0.01945599913597107,0.026828799955546854,0.064525,0.037309499999999995,0.13829249999999998,0.14248065,1.0,0.17413249909460543
